排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
26,603328,依顿电子,11.11,17.560782,36.948159,4.495,6.470276,14.797032,-67.595473,20260331,9.46,2026-07-31,24.4,52.4,2.18,35.7,3.87,,元件,{2026: 0.805},3.771,2.36,,缓慢增长,False,False,True,False,增速放缓,38.6,3.771
27,603383,顶点软件,11.92,73.534306,15.447637,-2.142,-8.138055,-12.38332,117.790629,20260331,30.93,2026-07-31,31.24,14.4,4.1,20.6,2.59,7.9,软件开发,"{2026: 1.488, 2027: 1.605}",,,3.954,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,51.9,3.954
28,002635,安洁科技,1.9,19.073992,29.181726,2.235,-57.556061,-0.971452,11.79812,20260331,13.23,2026-07-31,75.96,92.3,1.49,14.2,2.65,18.64,消费电子,"{2026: 0.59, 2027: 0.7}",,,4.075,困境反转,True,False,True,False,增速加速,38.3,4.075
29,300433,蓝思科技,7.82,14.554598,33.904861,-13.462,10.870231,6.456599,-134.881339,20260331,31.58,2026-07-31,48.47,72.0,3.05,57.0,1.74,10.72,消费电子,"{2026: 1.29, 2027: 1.52, 2028: 1.575}",4.459,3.844,4.521,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,15.4,4.459
30,301319,唯特偶,6.82,17.714157,28.468438,-4.356,-11.822293,24.06936,36.719684,20260331,86.22,2026-07-31,181.22,94.9,12.93,94.9,1.51,40.59,电子化学品Ⅱ,"{2026: 1.01, 2027: 1.42}",,,4.465,困境反转,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,32.7,4.465
31,301389,隆扬电子,4.54,49.379263,25.162813,2.822,26.200958,75.121353,-12.240869,20260331,43.77,2026-07-31,124.06,74.3,5.53,63.1,0.84,37.2,消费电子,"{2026: 0.56, 2027: 0.72, 2028: 1.05}",4.735,4.588,3.335,快速增长,False,True,True,False,增速放缓; 毛利率上升,57.5,4.735
32,002841,视源股份,7.65,20.754786,50.336106,-4.037,4.376033,8.716961,52.453652,20260331,45.19,2026-07-31,28.77,40.6,2.33,25.7,3.1,13.59,消费电子,"{2026: 1.87, 2027: 2.05, 2028: 2.41}",6.574,3.848,2.117,缓慢增长,True,False,False,False,增速加速; 现金流质量偏弱,25.7,6.574
33,300951,博硕科技,6.24,25.103944,21.182318,-0.958,-31.906888,7.203779,-137.79615,20260331,54.5,2026-07-31,128.34,99.7,4.0,94.9,1.1,19.42,消费电子,"{2026: 1.849, 2027: 2.208}",,,6.609,困境反转,False,False,False,False,增速放缓; 现金流质量偏弱,14.6,6.609
34,003019,宸展光电,12.04,23.555816,39.549534,0.055,3.243351,13.861468,-44.238723,20260331,22.15,2026-07-31,22.76,48.8,2.27,14.8,4.51,-7.56,光学光电子,"{2026: 2.315, 2027: 2.14}",7.017,2.936,,缓慢增长,False,False,False,False,增速放缓; 现金流质量偏弱,21.4,7.017
35,688378,奥来德,4.22,54.334263,25.445828,2.714,-20.055498,8.272564,214.859142,20260331,35.58,2026-07-31,73.27,77.4,4.52,87.9,0.56,7.76,光学光电子,"{2026: 1.84, 2027: 1.69, 2028: 2.09}",,,9.442,负增长(排除),True,True,True,False,增速加速; 毛利率上升,62.3,9.442
36,002152,广电运通,6.95,31.547076,44.102063,-5.116,-6.411212,10.939969,-5.964643,20260331,10.24,2026-07-31,30.04,51.3,2.0,19.6,3.61,2.56,计算机设备,"{2026: 0.54, 2027: 0.47, 2028: 0.555}",,,11.734,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,37.5,11.734
37,603228,景旺电子,10.35,18.761184,46.76731,1.031,5.298729,20.922669,-28.365387,20260331,72.7,2026-07-31,62.96,98.1,5.39,67.7,1.86,26.02,元件,"{2026: 2.075, 2027: 2.615}",11.882,8.795,2.42,缓慢增长,False,False,True,False,增速放缓,31.7,11.882
38,002938,鹏鼎控股,11.42,22.948496,30.358727,6.692,3.245322,11.401767,-5.206747,20260331,81.5,2026-07-31,50.88,97.2,5.45,85.3,2.45,41.59,元件,"{2026: 2.18, 2027: 2.79, 2028: 4.33}",15.678,8.934,1.223,缓慢增长,False,True,True,False,增速放缓; 毛利率上升,49.9,15.678
39,002351,漫步者,14.94,42.359613,13.382486,-0.039,-4.060419,-4.968953,0.050292,20260331,10.4,2026-07-31,21.45,2.5,3.01,20.2,4.33,1.28,消费电子,"{2026: 0.78, 2027: 0.79}",,79.568,16.758,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,49.1,16.758
40,603920,世运电路,10.61,13.53845,30.294366,6.787,1.365365,11.048577,-79.631147,20260331,31.52,2026-07-31,42.0,87.4,3.49,60.4,1.9,46.97,元件,"{2026: 1.54, 2027: 2.105, 2028: 3.31}",30.761,12.862,0.894,缓慢增长,False,False,True,False,增速放缓,35.5,30.761
41,001229,魅视科技,6.97,56.196053,11.626208,2.727,-13.163931,16.580383,-179.99946,20260331,31.8,2026-07-31,77.39,97.8,4.5,91.2,2.83,,C 制造业,{},,,,负增长(排除),False,False,True,False,增速放缓,45.7,
42,001308,康冠科技,6.43,16.158992,48.330218,0.166,-39.353823,-7.146896,-27.639145,20260331,17.36,2026-07-31,27.4,94.2,1.52,0.6,6.57,-10.93,光学光电子,"{2026: 1.95, 2027: 2.07, 2028: 1.49}",,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,34.0,
43,002106,莱宝高科,4.47,14.965468,46.085064,2.427,-34.541843,1.55513,-53.492667,20260331,9.82,2026-07-31,33.81,85.8,1.23,18.9,2.04,,光学光电子,{},,,,负增长(排除),False,False,True,False,增速放缓,29.5,
44,300303,聚飞光电,8.1,20.655445,38.573064,-1.496,-10.200836,12.965271,-27.680132,20260331,7.0,2026-07-31,34.75,68.4,2.58,48.2,3.57,,光学光电子,{},,,,负增长(排除),False,False,False,False,增速放缓; 现金流质量偏弱,15.0,
45,300481,濮阳惠成,5.42,19.241928,14.973267,2.792,-31.438604,-0.040719,-49.246858,20260331,13.16,2026-07-31,33.84,64.8,1.57,1.9,4.56,,电子化学品Ⅱ,{2026: 1.25},,,,负增长(排除),False,False,True,False,增速放缓,31.8,
46,301379,天山电子,10.15,16.500673,34.855783,0.321,-5.591708,20.960332,-45.012045,20260331,19.15,2026-07-31,42.22,93.6,3.63,62.6,1.04,,光学光电子,{},,,,负增长(排除),False,False,False,False,增速放缓; 现金流质量偏弱,19.9,
47,600845,宝信软件,11.88,30.767956,46.166989,1.414,-42.395901,-19.589455,-14.252332,20260331,18.59,2026-07-31,42.79,46.5,4.65,26.9,4.46,-36.14,IT服务Ⅱ,"{2026: 1.84, 2027: 1.175}",,,,负增长(排除),True,False,True,False,增速加速,51.0,
48,603327,福蓉科技,5.62,12.21565,33.293944,-0.565,-25.878436,10.710993,134.068678,20260331,9.05,2026-07-31,64.8,82.8,3.78,9.5,3.98,,消费电子,{},,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,29.7,
49,603927,中科软,6.93,23.758284,58.891597,52.346,-36.93621,-5.432764,2.428857,20260331,14.03,2026-07-31,51.97,71.4,3.67,1.5,2.14,-21.0,软件开发,"{2026: 1.457, 2027: 1.151}",,,,负增长(排除),True,False,True,False,增速加速,44.8,
50,688036,传音控股,12.71,22.004668,55.149147,-5.846,-53.493241,-4.546358,42.904909,20260331,64.47,2026-07-31,26.59,59.3,3.49,9.1,4.96,-14.92,消费电子,"{2026: 6.6, 2027: 6.0, 2028: 4.755}",,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,40.0,
