排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
31,003000,劲仔食品,17.04,27.033855,32.718094,0.927,-16.678787,1.279329,5.475321,20260331,10.86,2026-07-31,19.87,12.8,3.32,3.7,3.68,-2.13,休闲食品,"{2026: 1.01, 2027: 0.875, 2028: 0.955}",,,,负增长(排除),True,False,True,False,增速加速,48.4,
32,300791,仙乐健康,5.43,32.37904,48.121035,-0.301,-57.998341,1.231117,-27.294439,20260331,17.17,2026-07-31,45.0,85.4,1.9,6.7,0.76,-11.78,食品加工,"{2026: 2.38, 2027: 1.715, 2028: 1.79}",,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,36.2,
33,300856,科思股份,3.9,28.489536,29.196688,0.823,-80.793046,-34.833878,-15.060081,20260331,11.14,2026-07-31,52.57,87.8,1.94,1.7,0.63,-58.17,化妆品,"{2026: 3.58, 2027: 1.74, 2028: 0.61}",,,,负增长(排除),True,False,True,False,增速加速,34.4,
34,300997,欢乐家,4.13,32.563832,42.631365,-0.635,-70.026791,-19.106631,8.487874,20260331,18.25,2026-07-31,168.61,95.8,7.36,81.9,2.74,-40.0,饮料乳品,"{2026: 0.75, 2027: 0.45}",,,,负增长(排除),True,False,False,False,增速加速; 现金流质量偏弱,25.0,
35,600197,伊力特,5.58,51.529999,37.801966,0.793,-24.290636,-21.81808,-27.262843,20260331,10.61,2026-07-31,28.35,51.7,1.26,1.4,7.92,-12.09,白酒Ⅱ,"{2026: 0.94, 2027: 0.6, 2028: 0.672}",,,,负增长(排除),False,False,False,False,增速放缓; 现金流质量偏弱,33.3,
36,600300,维维股份,9.47,28.799934,23.433159,0.847,-18.631159,-8.416623,18.690466,20260331,3.22,2026-07-31,14.97,14.2,1.4,7.0,7.2,,饮料乳品,{},,,,负增长(排除),True,True,True,False,增速加速; 毛利率上升,50.4,
37,600519,贵州茅台,32.53,89.759217,12.122748,0.988,-4.532254,-1.200097,1.471418,20260331,1350.6,2026-07-31,20.41,8.8,6.23,6.3,3.85,-3.64,白酒Ⅱ,"{2026: 81.87, 2027: 82.0, 2028: 75.908}",,,,负增长(排除),True,False,True,False,增速加速,73.2,
38,600559,老白干酒,8.1,64.102047,38.22647,2.162,-45.396753,-23.071012,8.551294,20260331,12.55,2026-07-31,25.93,23.5,2.1,1.5,1.59,-16.99,白酒Ⅱ,"{2026: 1.295, 2027: 1.075}",,,,负增长(排除),True,False,True,False,增速加速,58.1,
39,600597,光明乳业,-1.6,15.865485,50.609711,-0.708,-120.665413,-1.57524,-52.744116,20260331,7.1,2026-07-31,-43.77,1.5,1.06,1.8,2.25,13.64,饮料乳品,"{2026: 0.44, 2027: 0.5}",,,,困境反转,True,False,False,False,增速加速; 现金流质量偏弱,13.7,
40,600737,中粮糖业,8.24,10.973705,46.001205,-1.127,-44.481437,-18.42123,22.036002,20260331,12.55,2026-07-31,27.11,53.9,2.31,64.3,5.98,,农产品加工,{},,,,负增长(排除),True,False,False,False,增速加速; 现金流质量偏弱,21.9,
41,600779,水井坊,7.89,79.83879,36.938895,0.411,-69.733091,-41.769231,-10.118321,20260331,29.3,2026-07-31,36.94,56.2,2.7,1.2,3.31,-21.5,白酒Ⅱ,"{2026: 3.1, 2027: 2.1, 2028: 1.874}",,,,负增长(排除),True,False,False,False,增速加速; 现金流质量偏弱,43.4,
42,601952,苏垦农发,7.86,11.391189,47.743855,2.11,-24.956538,-7.750264,-40.395853,20260331,8.2,2026-07-31,23.7,73.8,1.6,2.4,2.56,-12.13,种植业,"{2026: 0.69, 2027: 0.7, 2028: 0.52}",,,,负增长(排除),False,False,True,False,增速放缓,31.7,
43,603027,千禾味业,9.75,40.817764,15.357224,3.097,-32.398137,-16.317052,-7.748549,20260331,7.91,2026-07-31,31.41,30.6,3.0,1.9,9.86,-13.88,调味发酵品Ⅱ,"{2026: 0.63, 2027: 0.61, 2028: 0.46}",,,,负增长(排除),True,True,True,False,增速加速; 毛利率上升,63.4,
44,603198,迎驾贡酒,19.4,75.595872,21.405702,1.361,-23.312544,-18.04308,0.731391,20260331,38.87,2026-07-31,15.61,16.4,2.71,3.7,7.72,-11.64,白酒Ⅱ,"{2026: 4.45, 2027: 3.16, 2028: 3.341}",,,,负增长(排除),True,True,True,False,增速加速; 毛利率上升,77.5,
45,603237,五芳斋,7.13,37.435539,38.318019,-2.084,-14.438217,-0.400913,-26.646544,20260331,14.21,2026-07-31,25.42,29.0,1.72,4.9,3.52,-17.55,食品加工,"{2026: 0.94, 2027: 0.775}",,,,负增长(排除),False,False,False,False,增速放缓; 现金流质量偏弱,19.6,
46,603369,今世缘,16.39,74.400313,34.735785,1.526,-23.68852,-11.810355,-15.761463,20260331,28.7,2026-07-31,15.26,9.7,1.99,2.6,8.36,-17.65,白酒Ⅱ,"{2026: 3.7, 2027: 2.86, 2028: 2.5}",,,,负增长(排除),True,False,True,False,增速加速,66.4,
47,603589,口子窖,6.43,67.614864,17.18956,-0.411,-59.322335,-33.652678,-46.156327,20260331,20.84,2026-07-31,31.83,97.0,1.16,1.5,8.64,-34.76,白酒Ⅱ,"{2026: 3.79, 2027: 2.36, 2028: 1.61}",,,,负增长(排除),True,False,False,False,增速加速; 现金流质量偏弱,36.4,
48,603866,桃李面包,5.53,20.953298,27.972946,2.399,-45.630629,-10.497593,-38.315956,20260331,4.33,2026-07-31,27.53,36.3,1.32,1.4,4.62,-11.36,休闲食品,"{2026: 0.44, 2027: 0.39}",,,,负增长(排除),True,False,True,False,增速加速,42.5,
49,605009,豪悦护理,6.91,33.244972,31.817114,2.426,-40.136591,28.219615,-7.836197,20260331,24.14,2026-07-31,23.08,74.9,1.49,2.2,3.52,-18.61,个护用品,"{2026: 2.795, 2027: 2.34, 2028: 1.85}",,,,负增长(排除),True,True,True,False,增速加速; 毛利率上升,58.0,
50,605337,李子园,11.58,37.744509,45.53494,1.477,-12.294466,-8.441129,-19.126764,20260331,9.66,2026-07-31,20.52,18.2,2.26,7.2,4.87,-8.39,饮料乳品,"{2026: 0.73, 2027: 0.765, 2028: 0.6}",,,,负增长(排除),False,False,True,False,增速放缓,43.9,
